Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Launch Year
FloripaSat-1,NR (3/20),Brazil,Federal University of Santa Catarina,Civil,Education,Unknown,LEO,Sun-Synchronous,0.0,614,635,0.0015,97.9,97.10,1,,,12/20/2019,0.0,Federal University of Santa Catarina,Brazil,Taiyuan Launch Center,Long March 4B,2019-093G,44885,Student built - education.,JMSatcat/3_20,2019
FLP,Germany,Germany,University of Stuttgart,Civil,Earth Observation/Space Science,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,586,606,0.00144,97.6,96.60,120,,,7/14/2017,2.0,University of Stuttgart,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2017-042G,42831,"Technology demonstration, tracking of near-earth objects, AIS",JMSatcat/10_17,2017
USA 46,USA,USA,US Navy,Military,Communications,Unknown,GEO,Unknown,-14.74,"35,745","35,829",0.0009960000000000001,8.97,"1,436.13","2,310","1,884",,9/25/1989,5.0,"TRW, Defense and Space Systems Group",USA,Cape Canaveral,Atlas Centaur,1989-077A,20253,Old system replaced by UFO satellites; this satellite still operational as of 2009.,JM/2_09,1989
FormoSat-5,NR,Taiwan,National Space Organization,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,710,729,0.00134,98.3,99.10,525,,,8/25/2017,5.0,National Space Organization,Taiwan,Vandenberg AFB,Falcon 9,2017-049A,42920,Taiwan's first indigenous designed and manufactured satellite.,JMSatcat/10_17,2017
Fast On-orbit Recording of Transient Events) FORTÉ ,USA,USA,Los Alamos National Laboratory,Government,Earth Observation,Radar Imaging,LEO,Polar,0.0,790,823,0.0023,70.0,101,215,41,55,8/29/1997,3.0,Los Alamos National Laboratory/Sandia National Laboratory,USA,Vandenberg AFB,Pegasus XL,1997-047A,24920,"Electronic equipment for detecting, analyzing and recording bursts of radio energy (nuclear tests) from near Earth's surface (nonproliferation); study lightning; plastic satellite bus.",www.satellitedebris.net 12/12,1997
Fossasat-1,NR (3/20),Spain,Fossa Systems,Commercial,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,330,376,0.0034200000000000003,97.0,92,1,,,12/6/2019,0.0,Fossa Systems,Spain,Rocket Lab Launch Complex 1,Electron,2019-084F,44829,5 cm by 5 cm picosat.,JMSatcat/3_20,2019
Fox-1A,NR,USA,AMSAT-NA,Civil,Communications/Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,496,802,0.0218,64.78,97.7,1,,,10/8/2015,11.0,AMSAT/Penn State University/Vanderbilt University/Virginia Tech,USA,Cape Canaveral,Atlas 5,2015-058D,40967,NASA-sponsored ride-along on a NRL launch. Amateur radio and three technology experiments by American universities.,JM/12_15,2015
Fox-1Cliff,NR,USA,AMSAT-NA,Civil,Communications,Unknown,LEO,Sun-Synchronous,0.0,574,591,0.00122,97.7,96.3,2,,,12/3/2018,0.0,Radio Amateur Satellite Corporation (AMSAT),USA,Vandenberg AFB,Falcon 9,2018-099N,43770,Part of SSO-A Smallsat Express launch. University-developed payload.,JMSatcat/3_19,2018
Fox-1D,USA,USA,AMSAT-NA/University of Iowa/Penn State Erie/Virginia Tech,Civil,Communications/Technology Development,Unknown,LEO,Sun-Synchronous,0.0,494,507,0.0009460000000000001,97.5,94.6,2,,,1/11/2018,0.0,AMSAT/University of Iowa/Penn State Erie/Virginia Tech,France/Italy,Satish Dhawan Space Centre,PSLV,2018-004AC,43137,Cubesat developed for amateur radio and technology research.,JMSatcat/5_18,2018
FUNCube-1 (AO-73),NR,Netherlands,AMSAT-UK,Civil,Communications,Unknown,LEO,Sun-Synchronous,0.0,594,683,0.00635,97.8,97.4,1,,,11/21/2013,0.0,AMSAT/UK-AMSAT/NL,UK/Netherlands,Dombarovsky Air Base,Dnepr,2013-066AE,39444,"Aimed for its transmissions to be received easily be received by schools and colleges and decoded in the classroom. It's purpose is to provide stimulation and encouragement for students to become interested Science, Technology, Engineering and Mathematics.",ZARYA,2013
Galaxy-11,USA,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,Unknown,GEO,Unknown,-55.5,"35,785","35,795",0.00011899999999999999,0.05,1436.11,"4,488","2,775","10,400",1/21/1999,14.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,1999-071A,26038,"Voice and video communications; 24 C-band, 40 Ku-band; North America, Brazil. Solar panels very degraded - will serve for DTH applications.",,1999
Galaxy-12,USA,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,Unknown,GEO,Unknown,-122.9,"35,775","35,796",0.00024900000000000004,0.05,1436.07,"1,760",800,,4/9/2003,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2003-013B,27715,"Voice, video and data transmissions; 24 C-band; North and South America.",JM/12_08,2003
Galaxy-13,USA,USA/Japan,PanAmSat (Intelsat S.A.)/Sky Perfect JSAT Corp.,Commercial,Communications,Unknown,GEO,Unknown,-126.97,"35,781","35,790",0.00010700000000000001,0.01,1436.07,"4,060","2,630","8,600",10/1/2003,15.0,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3,2003-044A,27954,Horizons 1 is Ku-band payload; C-band is on Galaxy 13.,JM/12_08,2003
Galaxy-14,USA,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,Unknown,GEO,Unknown,-124.96,"35,776","35,795",0.000225,0.01,1436.07,"2,086",,"4,700",8/13/2005,15.0,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Soyuz-Fregat,2005-030A,28790,"24 C-band transponders; North America, Caribbean.",JM/12_08,2005
Galaxy-15,USA,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,Unknown,GEO,Unknown,-132.97,"35,776","35,795",0.000225,0.06,1436.07,"2,033",,"4,700",10/13/2005,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2005-041A,28884,"North America, Alaska, Hawaii, Caribbean; 24 C-band transponders, 2 L-band transponders for transmission of navigational data; anomaly in 4/10 left Intelsat out of communication with the satellite.",JM/12_08,2005
Galaxy-16,USA,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,Unknown,GEO,Unknown,-99.02,"35,775","35,798",0.000273,0.01,1436.1,"4,640",,"10,000",6/18/2006,15.0,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2006-023A,29236,"24 C-band, 24 Ku-band; CONUS coverage.",JM/12_08,2006
Galaxy-17,USA,USA,Intelsat S.A.,Commercial,Communications,Unknown,GEO,Unknown,-91.01,"35,774","35,799",0.000297,0.02,1436.1,"4,100",,"9,500",5/4/2007,15.0,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,2007-016B,31307,"24 C-band, 24 Ku-band transponders; service to North America.",JM/12_08,2007
Galaxy-18,USA,USA,Intelsat S.A.,Commercial,Communications,Unknown,GEO,Unknown,-123.02,"35,774","35,798",0.000285,0.02,1436.1,"4,642",,,5/21/2008,15.0,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2008-024A,32951,"Advanced cable television and data, North America; 24 Ku-band, 24 C-band transponders.",JM/12_08,2008
Galaxy-19,USA,USA,Intelsat S.A.,Commercial,Communications,Unknown,GEO,Unknown,-97.08,"35,776","35,796",0.00023700000000000001,0.05,1436.1,"4,690",,,9/24/2008,15.0,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2008-045A,33376,"50-state coverage, in addition to reaching the Caribbean, Canada and Mexico, to video, government and network customers. ",JM/12_08,2008
Galaxy-25,USA,USA,Intelsat S.A. ,Commercial,Communications,Unknown,GEO,Unknown,-93.09,"35,771","35,801",0.000356,0.03,1436.08,"3,515",,,5/24/1997,13.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,1997-026A,24812,"24 C-band, 28 Ku-band; U.S., southern Canada, Mexico, Caribbean.",JM/12_08,1997
Galaxy-28,USA,USA,Intelsat S.A.,Commercial,Communications,Unknown,GEO,Unknown,-88.96,"35,775","35,798",0.000273,0.01,1436.1,"5,493",,"16,000",6/23/2005,13.0,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2005-022A,28702,"28 C-band, 36 Ku-band, 24 Ka-band; video and data transmissions to all countries in North and South America.",JM/12_08,2005
Galaxy-3C,USA,USA,"PanAmSat (Intelsat S.A.)/DirecTV, Inc.",Commercial,Communications,Unknown,GEO,Unknown,-95.02,"35,784","35,788",4.74e-05,0.01,1436.11,"4,860","2,873","18,000",6/15/2002,15.0,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3SL,2002-030A,27445,"Direct-to-home broadcast of video and Internet; 24 C-band, 16 Ku-band; North America. DirecTV leases transponders for broadcast to Latin America.",JM/12_08,2002
Galileo FOC FM1,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,Elliptical,Non-Polar Inclined,0.0,"17,231","25,971",0.156,49.78,776.25,733,660,,8/22/2014,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2014-050A,40128,"Placed into wrong orbit, subsequently maneuvered into orbit where it can work with Galileo constellation.",ZARYA,2014
Galileo FOC FM10,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,272","23,280",0.000135,57.4,847.01,723,,,5/24/2016,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2016-030A,41549,,Space50,2016
Galileo FOC FM11,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,483","23,530",0.000787,57.4,856.9,723,,,5/24/2016,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2016-030B,41550,,Space50,2016
Galileo FOC FM12,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,039","23,055",0.000272,54.6,846,723,,,11/17/2016,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2016-069B,41860,,prehled-druzic,2016
Galileo FOC FM13,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"22,982","22,982",0.0,54.6,834,723,,,11/17/2016,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2016-069C,41861,,prehled-druzic,2016
Galileo FOC FM14,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,272","23,296",0.000405,54.6,847,723,,,11/17/2016,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2016-069D,41862,,prehled-druzic,2016
Galileo FOC FM15,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,164","23,184",0.000338,56.9,842.6,715,,,12/13/2017,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2017-079A,43055,,JMSatcat/4_18,2017
Galileo FOC FM16,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"22,904","22,927",0.000393,57.01,831.6,715,,,12/13/2017,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2017-079B,43056,,JMSatcat/4_18,2017
Galileo FOC FM17,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"22,905","22,918",0.00022200000000000003,56.9,831.4,715,,,12/13/2017,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2017-079C,43057,,JMSatcat/4_18,2017
Galileo FOC FM18,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"22,903","23,149",0.00418,57.1,830.9,715,,,12/13/2017,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2017-079D,43058,,JMSatcat/4_18,2017
Galileo FOC FM19,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,233","23,250",0.00028700000000000004,56.3,840.2,715,,,7/25/2018,12.0,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Ariane 5 ES,2018-060C,43566,,JMSatcat/10_18,2018
Galileo FOC FM2,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,Elliptical,Non-Polar Inclined,0.0,"13,810","25,918",0.231,49.77,705.11,733,660,,8/22/2014,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2014-050B,40129,"Placed into wrong orbit, subsequently maneuvered into orbit where it can work with Galileo constellation.",ZARYA,2014
Galileo FOC FM20,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,089","23,149",0.0010199999999999999,56.3,831.2,715,,,7/25/2018,12.0,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Ariane 5 ES,2018-060D,43567,,JMSatcat/10_18,2018
Galileo FOC FM21,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"22,973","22,980",0.00011899999999999999,56.3,834.2,715,,,7/25/2018,12.0,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Ariane 5 ES,2018-060A,43564,,JMSatcat/10_18,2018
Galileo FOC FM22,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,021","23,047",0.000442,56.3,836.6,715,,,7/25/2018,12.0,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Ariane 5 ES,2018-060B,43565,,JMSatcat/10_18,2018
Galileo FOC FM3,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,516","23,574",0.0009689999999999999,55.0,858.55,723,,,3/27/2015,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017A,40544,,JM/8_15,2015
Galileo FOC FM4,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,353","23,382",0.000488,55.1,850.5,723,,,3/27/2015,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017B,40545,,JM/8_15,2015
Galileo FOC FM5,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,218","23,240",0.00037200000000000004,57.1,845,723,,,9/11/2015,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-045A,40889,,SC - ASCR,2015
Galileo FOC FM6,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,220","23,239",0.000321,57.1,844,723,,,9/11/2015,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-045B,40890,,SC - ASCR,2015
Galileo FOC FM7,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,265","23,305",0.000674,54.6,847,723,,,11/17/2016,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2016-069A,41859,,prehled-druzic,2016
Galileo FOC FM8,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,550","23,618",0.00114,54.96,860.51,723,,,12/17/2015,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-079B,41175,,prehled-druzic,2015
Galileo FOC FM9,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,551","23,568",0.00028399999999999996,54.95,858.34,723,,,12/17/2015,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-079A,41174,,prehled-druzic,2015
Galileo IOV-1 FM2,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,242","23,307",0.0011,54.67,846.98,700,,"1,420",10/21/2011,12.0,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060B,37847,Operational nucleus of the full 30-satellite constellation.,SC - ASCR,2011
Galileo IOV-1 PFM,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,240","23,306",0.0011099999999999999,54.68,846.88,700,,"1,420",10/21/2011,12.0,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060A,37846,Operational nucleus of the full 30-satellite constellation.,SC - ASCR,2011
Galileo IOV-2 FM3,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,214","23,233",0.000321,55.34,844.76,700,,"1,420",10/12/2012,12.0,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055A,38857,Operational nucleus of the full 30-satellite constellation.,SC - ASCR,2012
Galileo IOV-2 FM4,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"23,217","23,227",0.000169,55.3,844.69,700,,"1,420",10/12/2012,12.0,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055B,38858,Operational nucleus of the full 30-satellite constellation. Partial failure in 2014.,SC - ASCR,2012
Gaofen 1,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,630,654,0.0017100000000000001,98.07,97.56,"1,000",,,4/26/2013,8.0,Shanghai Academy of Space Flight Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2013-018A,39150,Possibly for cartography; will work in system to combine data from different sources.,SC - ASCR,2013
Gaofen 10,NR (3/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,611,621,0.0007160000000000001,97.8,97.03,"1,000",,,10/4/2019,8.0,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2019-066A,44622,,JMSatcat/2_20,2019
Gaofen 11,China,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,Elliptical,Unknown,0.0,241,689,654.0,97.4,93.9,"1,000",,,7/31/2018,8.0,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4B,2018-063A,43585,,JMSatcat/10_18,2018
Gaofen 12,NR (3/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.0,612,616,621.0,97.9,96.9,"1,000",,,11/28/2019,8.0,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2019-082A,44819,,JMSatcat/3_20,2019
Gaofen 2,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,620,636,0.00114,98.02,97.06,"1,000",,,8/19/2014,8.0,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4B,2014-049A,40118,"The primary users of the satellite will be the Ministry of Land and Resources, the Ministry of Housing and Urban-Rural Development, the Ministry of Transport, and the State Forestry Administration,",ZARYA,2014
Gaofen 3,China,China,State Oceanic Administration (SOA),Government,Earth Observation,Radar Imaging,LEO,Polar,0.0,757,759,0.00014,98.4,99.8,"1,000",,,8/9/2016,8.0,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C,2016-049A,41727,"Part of the China High-resolution Earth Observation System, or CHEOS, a network of satellites supplying near-realtime data to Chinese government agencies.",JMSatcat11/16,2016
Gaofen 4,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,GEO,Unknown,105.7,"35,792","35,796",4.74e-05,0.6,1436.1,"4,600",,,12/28/2015,8.0,China Aerospace Science and Technology Corp. (CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-083A,41194,China's first earth observation satellite in GEO.,prehled-druzic,2015
Gaofen 7,NR (3/20),China,Ministry of Natural Resources/Ministry of Housing and Urban-Rural Development/National Bureau of Statistics,Government,Earth Observation,Optical Imaging ,LEO,Sun-Synchronous,0.0,487,505,0.00131,97.5,94.5,9,,,11/3/2019,0.0,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2019-072A,44703,Collect three-dimensional mapping imagery.,JMSatcat/3_20,2019
Gaofen 8,China,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,484,492,0.000583,97.3,94.36,"1,000",,,6/26/2015,8.0,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4B,2015-030A,40701,Optical satellite planned under the civilian China High-resolution Earth Observation System (CHEOS).,JM/8_15,2015
Gaofen 9,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,618,664,0.00328,98.01,97.54,"1,000",,,9/14/2015,8.0,Shanghai Academy of Space Flight Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2015-047A,40894,"Will provide sub-meter class resolution optical images for city planning, road network design, land ownership determination, etc. purposes",JM/12_15),2015
Gaofen 9-02,NR (7/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,487,502,0.00109,97.2,94.5,"1,000",,,5/31/2020,8.0,Shanghai Academy of Space Flight Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2020-034B,45625,,JMSatcat/7_20,2020
Gaofen 9-03,NR (7/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,485,504,0.0013800000000000002,97.3,94.5,"1,000",,,6/17/2020,8.0,Shanghai Academy of Space Flight Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2020-039A,45794,"Gaofen satellites are equipped variously with optical, infrared and radar imaging observatories.",ZARYA,2020
Gaofen Multi-Mode 1,NR (7/20),China,"China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Multispectral Imaging,LEO,Sun-Synchronous,0.0,631,649,0.00128,98.0,97.5,,,,7/3/2020,0.0,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2020-042A,45856,Multi-spectral imager; country's highest definition civilian camera.,ZARYA,2020
Gaofen-1-02,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,638,642,0.000285,98.0,97.5,805,,,3/30/2018,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C,2018-031A,43259,,JMSatcat/5_18,2018
Gaofen-1-03,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,638,640,0.000143,98.0,97.5,805,,,3/30/2018,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C,2018-031B,43260,,JMSatcat/5_18,2018
Gaofen-1-04,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,638,642,0.000285,98.0,97.5,805,,,3/30/2018,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C,2018-031D,43262,,JMSatcat/5_18,2018
Gaofen-1-05,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0.0,677,695,0.00128,98.0,98.4,805,,,5/8/2018,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C,2018-043A,43461,"Survey global land and water resources, air pollutants, greenhouse gases and other environmental parameters.",JMSatcat/10_18,2018
Gaofen-1-06,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,634,647,0.000927,98.0,97.3,"1,064",,,6/3/2018,8.0,China Spacesat,China,Jiuquan Satellite Launch Center,Long March 2D,2018-048A,43484,Similar to Gaofen 1 with improved cameras.,JMSatcat/10_18,2018
Cosmos 2473,Russia,Russia,Ministry of Defense,Military,Communications,Unknown,GEO,Unknown,79.9,"35,782","35,790",9.49e-05,0.09,1436.1,"5,000",,,9/20/2011,0.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-048A,37806,Possible replacement for Potok/Geizer relay communications satellite.,JM/1_12,2011
Cosmos 2513,Russia,Russia,Ministry of Defense,Military,Communications,Unknown,GEO,Unknown,76.06,"35,783","35,805",0.000261,0.0,1436.1,"5,000",,,12/10/2015,0.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2015-075A,41121,Data relay communications satellite.,prehled-druzic,2015
GATOSS,NR,Denmark,GomSpace ApS,Commercial,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,593,819,0.016,97.7,98.9,5,,,11/21/2013,0.0,GomSpace/University of Aalborg,Denmark,Dombarovsky Air Base,Dnepr,2013-066Q,39430,Principal purpose is to evaluate use of satellites to monitor ABS-B data transmissions from commercial aircraft on trans-oceanic routes.,ZARYA,2013
GCOM-C,Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Unknown,LEO,Sun-Synchronous,0.0,790,793,0.00193,98.7,100.69,"2,200",,,12/22/2017,5.0,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H2A,2017-082A,43065,"Make “surface and atmospheric measurements related to the carbon cycle and radiation budget, such as clouds, aerosols, ocean color, vegetation, and snow and ice.”",JMSatcat/_18,2017
GEARRSAT-2,NR,USA,NearSpace Launch/Air Force Research Laboratory,Government,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,356,700,0.0249,55.0,95,10,,,5/20/2015,0.0,NearSpace Launch/Air Force Research Laboratory,USA,Cape Canaveral,Atlas 5,2015-025G,40657,,JM/8_15,2015
Genesis-1,USA,USA,Bigelow Aerospace,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,522,569,0.0034,64.5,95.6,"1,360",,,7/12/2006,5.0,Bigelow Aerospace,USA,Dombarovsky Air Base,Dnepr,2006-029A,29252,Prototype for space hotel; inflatable spacecraft.,www.satellitedebris.net 12/12,2006
Genesis-2,USA,USA,Bigelow Aerospace,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,508,586,0.00564,64.5,95.6,"1,360",,,6/28/2007,5.0,Bigelow Aerospace,USA,Dombarovsky Air Base,Dnepr,2007-028A,31789,Second prototype for space hotel; inflatable spacecraft.,www.satellitedebris.net 12/12,2007
