Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Launch Year
Max Valier,NR,Italy,"Max Valier school Bolzano, Italy, Oskar von Miller school, Merano, Italy",Civil,Space Science/Technology Development,Unknown,LEO,Sun-Synchronous,0.0,496,516,0.00145,97.45,94.7,16,,,6/23/2017,0.0,Two high schools and OHB System AG,Italy/Germany,Satish Dhawan Space Centre,PSLV,2017-036P,42778,Carries a mini x-ray telescope added to the mission by the Max Planck Institute of Extraterrestrial Physics (MPE).,JMSatcat/10_17,2017
Maya-1,NR,Philippines,Kyushu Institute of Technology (KIT),Civil,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0.0,398,409,0.0008119999999999999,51.6,94.7,1,,,8/10/2018,0.0,Kyushu Institute of Technology (KIT),Japan,International Space Station,J-SSOD Deployer,1998-067PE,43590,Will supplement information supplied by Diwata-1.,JM/11_18,2018
M-Cubed/E1P-U2,USA,USA,University of Michigan/Montana University,Civil,Technology Development,Unknown,LEO,Polar,0.0,442,724,0.0203,101.7,97.45,2,,,10/28/2011,0.0,University of Michigan/Montana University/Montana Space Grant Consortium,USA,Vandenberg AFB,Delta 7920,2011-061F,37855,M-Cubed is as a technology demonstrator platform for high resolution imaging technology intended for use in a future Nasa mission; E1P-U2 mission is to detect the Van Allen radiation belts.,WT,2011
Measat 3,Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,Unknown,GEO,Unknown,91.54,"35,778","35,794",0.00018999999999999998,0.0,1436.1,"4,900","3,220","10,800",12/11/2006,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton M,2006-056A,29648,"24 C-band, 24 Ku-band",JM/12_08,2006
Measat 3A,Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,Unknown,GEO,Unknown,91.5,"35,728","35,788",0.000712,0.04,1434.6,"2,417",,,6/21/2009,15.0,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB,2009-032A,35362,"12 C-band, 12 Ku-band transponders, Asia-Pacific region, Middle East, and Africa.",SC - ASCR,2009
Measat 3B,Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,Unknown,GEO,Unknown,91.5,"35,772","35,802",0.000356,0.05,1436.11,"5,800",,"16,000",9/11/2014,15.0,Airbus Defence and Space,Germany/France,Guiana Space Center,Ariane 5 ECA,2014-054B,40147,48 Ku-band transponders.,ZARYA,2014
Megha-Tropiques,India,India/France,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0.0,853,868,0.0010400000000000001,20.0,102.2,"1,000",,,10/12/2011,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2011-058A,37838,The data collected by the satellite will allow improvement in knowledge on the water cycle contribution to the climate dynamic in the tropical atmosphere and our understanding of the processes linked to the tropical convection.,www.satellitedebris.net 12/12,2011
Merah Putih,NR,Indonesia,PT Telkomunikasi,Commercial,Communications,Unknown,GEO,Unknown,107.0,"35,789","35,797",9.49e-05,0.0,1436.1,"5,800",,,8/7/2018,16.0,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2018-064A,43587,,JM/11_18,2018
USA 105,USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,Electronic Intelligence,GEO,Unknown,-27.95,"35,598","35,976",0.00448,5.1,1436.13,"8,000","4,000",,8/27/1994,0.0,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1994-054A,23223,In the $1 billion range; ELINT; signals intelligence.,JM/12_08,1994
USA 118,USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,Electronic Intelligence,GEO,Unknown,-23.51,"33,674","37,900",0.0501,7.33,1436.12,"8,000","4,000",,4/24/1996,0.0,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1996-026A,23855,In the $1 billion range; ELINT; signals intelligence.,JM/12_08,1996
